Title,Date
NIT Calicut's IEEE Student Branch has been recognized with the Outstanding Student Branch of the Year Award by the IEEE India Council,"Jan 02, 2025"
"Fifteenth Lecture in the Prof. M.N Neelakantan Memorial Lecture Series, organized by the Computer Science & Engineering Department","Dec 30, 2024"
The IEEE Student Branch NIT Calicut has successfully organized Hack4Good,"Dec 28, 2024"
Reconnect 99 - Alumni from the 99 graduates celebrated their Silver Jubilee Reunion at NIT Calicut,"Dec 22, 2024"
International Conference on Materials for Energy Environment and Healthcare (MEEHCON) 2024 was inaugurated at NIT Calicut on 20th December 2024,"Dec 20, 2024"
World Meditation Day 2024,"Dec 19, 2024"
"International Conference on Materials for Energy, Environment and Healthcare (MEEHCON) 2024 will be held at NIT Calicut during 20-21 December 2024","Dec 19, 2024"
"Centre for Women Welfare and Social Empowerment, in collaboration with the Internal Complaints Committee (ICC) organized an expert lecture on Prevention of Sexual Harassment at Workplace","Dec 19, 2024"
NIT Calicut champions in All India Inter NIT Chess Tournament,"Dec 18, 2024"
Math Beyond the Classroom‘: Workshop at NIT Calicut,"Dec 17, 2024"
Institute Health Centre of NITC in coordination with Cipla Oncology organized a Talk and Interactive Session on Cancer Awareness,"Dec 17, 2024"
IEEE SB NITC has been honored with the Outstanding Student Branch Award by the IEEE Kerala Section,"Dec 15, 2024"
COPEN13 concludes at NITC,"Dec 15, 2024"
"The 13th International Conference on Precision, Meso, Micro, and Nano Engineering (COPEN13)","Dec 15, 2024"
I3th International Conference on Precision Engineering (COPEN 13) Inaugurated at NIT Calicut,"Dec 13, 2024"
"IntPurple Technologies, a TBI NIT Calicut startup, has introduced FelixaTouch, a healthcare solution","Dec 12, 2024"
NITC to host the National Cyber Security Conclave 1.0 from 17th - 18th of January 2025,"Dec 11, 2024"
"Centre for Indian Knowledge Systems and official language Unit of NITC jointly organized ""Bharatiya Bhasha Utsav""","Dec 11, 2024"
"NIT Calicut to Organise COPEN 13, 13th International Conference on Precision, Micro, Meso and Nano Engineering","Dec 10, 2024"
"Short Term Training Programme (4th Batch) for Officers of Kerala Police, organized by CITRA , CSED and CCESD commenced on 09th December 2024","Dec 09, 2024"
"NIT Calicut inaugurated ""Shobhindran Thanaloram Project"" organized by NSS units of Providence Women's College","Dec 08, 2024"
International Conference on Interdisciplinary Research in Technical and Management (IRTM 2024) held at NIT Calicut,"Dec 07, 2024"
"Short Term Training Programme (3rd Batch) for Officers of Kerala Police, organized by CITRA, CSED and CCESD","Dec 05, 2024"
MCA - 1999 Batch Reunion at NIT Calicut,"Nov 30, 2024"
"National Workshop on ""Advances in Graph Algorithms: Theory and Applications (AGATHA 2024)""","Nov 29, 2024"
"Students from PM Shri Kendriya Vidyalaya, Ezhimala visits NIT Calicut","Nov 28, 2024"
NIT Calicut Commemorates Constitution Day with Enthusiasm and Insight,"Nov 26, 2024"
NIT Calicut Honored for Women in STEM Excellence,"Nov 19, 2024"
MoU between NIT Calicut and Kalpetta Bar Association - Time Capsule Project,"Nov 19, 2024"
Department of Mathematics conducts an insightful talk on Simulations of Pedestrian Flows Coupled with Disease Contagion Models by a Meshfree Particle Method,"Nov 18, 2024"
NIT Calicut Commemorates Janjatiya Gaurav Diwas with Grand Celebrations,"Nov 15, 2024"
NIT Calicut Unveils Renovated 25m Swimming Pool - ‘JALADHI’,"Nov 12, 2024"
NIT Calicut Launches 5-Day Training Program for Navodaya Vidyalaya Teachers,"Nov 11, 2024"
IndiaAI Mission fellowships for three Students of NIT Calicut,"Nov 08, 2024"
Vigilance Awareness Week 2024,"Oct 28, 2024"
"ICC conducts a talk on ""Role of Faculties as Torch Bearers of POSH Awareness”","Oct 28, 2024"
Tathva 2024 Tech Fest concludes at NIT Calicut,"Oct 27, 2024"
Tathva’24 Tech Fest : Technology Meets Gaming Arena,"Oct 26, 2024"
NIT Alumnus Professor Maruthi Akella Honored with Minor Planet Named after him,"Oct 25, 2024"
Tathva’24 Tech Fest opens to huge crowds on Day 1,"Oct 25, 2024"
NITC inaugurated the newly established Chanakya Hall,"Oct 24, 2024"
NIT Calicut presents Tathva 2024,"Oct 23, 2024"
NIT Calicut Hosts IEDC SUMMIT’24: Empowering Innovation and Entrepreneurship,"Oct 19, 2024"
Team from NIT Calicut made their presence at Semicon India 2024:,"Oct 11, 2024"
NIT Calicut Observes Swachhata Hi Seva Campaign,"Oct 02, 2024"
Patented work on Tubular Reactor for Phenolic Resole Resin,"Sep 30, 2024"
"National Institute of Technology Calicut (NITC) has entered in to a MOU with the Patel College of Global Sustainability (PCGS), University of Southern Florida (USF), USA","Sep 17, 2024"
NIT Calicut announces SILA Scholarships for Civil Engineering Students,"Sep 12, 2024"
Inauguration of M. S. Swaminathan Seminar Hall,"Sep 10, 2024"
20th Convocation Ceremony held at NIT Calicut,"Sep 07, 2024"
NIT Calicut Inks Landmark Dual Degree Agreement with University of North Texas,"Sep 06, 2024"
NIT Calicut celebrated National Teachers Day,"Sep 05, 2024"
NITC celebrated the 64th Foundation Day,"Sep 01, 2024"
33 KV Substation inaugurated at NITC,"Aug 30, 2024"
Bhoomi Pooja for Ladies Hostel,"Aug 30, 2024"
NIT Calicut celebrated National Sports Day,"Aug 29, 2024"
Inter Department Independence Day Quiz competition organized by Department of Education,"Aug 28, 2024"
National Institute of Technology Calicut to Celebrate 64th Foundation Day,"Aug 27, 2024"
NIT Calicut Welcomes Over 2300 New Students in Grand Orientation Program,"Aug 17, 2024"
NITC observes Independence Day with enthusiasm,"Aug 15, 2024"
"Department of Humanities, Arts, and Social Sciences observed ""Partition Horrors Remembrance Day""","Aug 14, 2024"
NITC student wins the NIUA-NMCG Best Thesis National Award for her work on Nagpur city,"Aug 12, 2024"
"NIT Calicut Shines in National Rankings, Continues Legacy of Excellence","Aug 12, 2024"
Department of Architecture and Planning at NIT Calicut Shines in NIRF 2024 Rankings for the Sixth Consecutive Year,"Aug 12, 2024"
Session on Generative AI at NITC,"Aug 11, 2024"
Research Colloquium 2024 on CLEAN ENERGY,"Aug 06, 2024"
NIT Calicut and Coir Board to trains Kudumbhashree Women,"Aug 06, 2024"
IEEE NITC SB Volunteers Produce 300 Emergency Torches for Wayanad Relief,"Aug 02, 2024"
NIT Calicut Launches 'Nivahika' Web Portal to Revolutionize Data Management,"Aug 02, 2024"
NIT Calicut hosts Insightful Talk on New Criminal Laws,"Jul 30, 2024"
PES YP Research Conclave 2024 held at NITC,"Jul 29, 2024"
Solar Street lighting in NIT Campus,"Jul 26, 2024"
NITC steps forward in Electric Vehicle Research,"Jul 19, 2024"
NITC NCC Cadets Bag Top Honours,"Jul 15, 2024"
NITC Surges Forward in Research and Innovation,"Jul 12, 2024"
Vanamahotsav Week Kicks Off at NIT Calicut,"Jul 01, 2024"
Viksit Bharat 2047,"Jul 01, 2024"
MSED organises Workshop on Nano Technology,"Jun 29, 2024"
GRADCON held at NITC,"Jun 24, 2024"
International Day of Yoga Observed at NITC,"Jun 21, 2024"
CWSE Celebrated International Day of Yoga,"Jun 21, 2024"
Menstrual Health and Hygiene Management organized by Center for Women and Social Empowerment (CWSE) in collaboration with Global Hunt Foundation,"Jun 14, 2024"
NITC conducts DISHA-’24 for engineering aspirants,"Jun 13, 2024"
International Conference on Lie Algebra and Number Theory begins at NIT Calicut,"Jun 12, 2024"
NITC organises training for Kerala Police,"Jun 10, 2024"
NIT Calicut Professor Wins HUDCO Design Award,"Jun 06, 2024"
Centre for Clean Energy and Circular Economy Inaugurated,"Jun 06, 2024"
"The second International Conference on Fluid, Thermal and Energy Systems (ICFTES'24),","Jun 06, 2024"
NITC to Organise Guidance Programme for Engineering Aspirants,"Jun 05, 2024"
The Annual Training Camp of the National Cadet Corps (NCC),"May 29, 2024"
"Math, Coding & AI Summer Camp Kicks Off at NIT Calicut","May 27, 2024"
NITC Students Shine at Dhwani ‘24,"May 24, 2024"
NIT Calicut inks MoU with CPWD to Construct State-of-the-Art Ladies' Hostel,"May 24, 2024"
"First International Conference on Logistics, Supply Chain and Transportation begins at NITC","May 22, 2024"
NITC organises training for Kerala Police,"May 20, 2024"
97th Avenue by Alumni Opened at NITC,"May 19, 2024"
NIT Calicut Team Shines at HackFest '24,"May 18, 2024"
NIT Calicut Inks MoU with CSIR-NIIST,"May 15, 2024"
Meeting on Periyar River Conservation Project Held at NIT Calicut,"May 15, 2024"
Spring Valley School at NITC Campus Excels in CBSE XII and X Board Examinations,"May 13, 2024"
Student Innovative Projects Displayed,"May 07, 2024"
Mentor-Mentee Programme begins at NITC,"May 03, 2024"
Celebrated Victory Day on May 2nd 2024,"May 02, 2024"
NITC Professor becomes Fellow of the Royal Society of Chemistry,"May 01, 2024"
NITC Alumnus Scales Mount Everest,"Apr 28, 2024"
Workshop on AI and Cyber Security held,"Apr 23, 2024"
NITC Alumnus gets the distinguished Aryabhatta Award,"Apr 22, 2024"
NITC faculty wins INSA Visiting Scientist Award,"Apr 20, 2024"
Research Conclave on Global Transformation 2024,"Apr 19, 2024"
NIT Calicut celebrates success as three alumni crack UPSC Civil Service Exam,"Apr 18, 2024"
The 6th Institutional Biosafety Committee (IBSC) Meeting at NIT Calicut's BSED conference hall sets agenda for Biosafety Practices at the Institute Level,"Apr 17, 2024"
Yoga Utsav '24,"Apr 15, 2024"
Blood Donation Camp organized by National Service Scheme of NITC,"Apr 15, 2024"
New Sports facilities inaugurated at NIT Calicut,"Apr 08, 2024"
NIT Calicut hosts the 17th edition of FOSSMeet,"Apr 08, 2024"
NIT Calicut and IIT Palakkad to form Centres for Periyar River,"Apr 04, 2024"
NITC holds discussions with the Netherlands Innovation Network,"Mar 30, 2024"
Summer Internship at NITC,"Mar 28, 2024"
NITC among five consortia winning first round of selection by MoE,"Mar 27, 2024"
NITC Signs Transformative Agreement with Publishers,"Mar 26, 2024"
"Maiden Test Flight of Divyastra, MIRV version of Agni-V - Alumnus makes NITC proud","Mar 25, 2024"
The Kerala Netherlands Water Dialogue organized by The Department of Architecture and Planning at NIT,"Mar 25, 2024"
"NITC Hosts Talk Series on ""From Idea to Empire","Mar 20, 2024"
NIT Calicut Student Startups Shine at Startup Mahakumbh,"Mar 18, 2024"
NIT Calicut Hosts Delegates from Chhattisgarh as part of Yuva Sangam Exchange Program,"Mar 18, 2024"
"Science and Spirituality Club, Centre for Indian Knowledge Systems, conducted a workshop on Innovation and Adaptability: Mahabharata's Timeless Relevance in a Rapidly Changing Business Landscape","Mar 16, 2024"
NITC conducts session on Cyber Challenges in Law Enforcement,"Mar 15, 2024"
Women's Week at NITC,"Mar 15, 2024"
NIT Calicut Hosts Seminar on India's Techade-Chips for Viksit Bharat,"Mar 13, 2024"
EED and IIC organised one-day workshop,"Mar 11, 2024"
NITC and SPA join hands for the documentation of Iringanoor temple in Kozhikode,"Mar 07, 2024"
NITC and SPIC MACAY join hands for promoting culture and art,"Mar 06, 2024"
Optimizing Literature review with Web of Science,"Mar 06, 2024"
ChunavKaParv Campaign,"Mar 05, 2024"
NIT Calicut and Aster Medcity collaborate for joint research and academics,"Mar 04, 2024"
National Institute of Technology Calicut to get a Satellite Research Centre of Ananth Technologies,"Mar 03, 2024"
Men’s Volleyball Team Bags Inter-NIT Championship,"Mar 03, 2024"
NIT Calicut joins hands with Cyber Dome of Kerala Police,"Feb 29, 2024"
NITC ignites young minds with Open House on National Science Day,"Feb 28, 2024"
"Akhila K., an M.Sc. Chemistry student at NITC, has won the prestigious Chief Minister's Vidyarthi Prathibha Award","Feb 27, 2024"
NIT Calicut to host VIRASAT 2024,"Feb 23, 2024"
NITC hosts workshop on Sustainable Geotechnics,"Feb 20, 2024"
Skywatch programme at NITC,"Feb 19, 2024"
NITC bags laurels in Inter- NIT athletic meet,"Feb 18, 2024"
NIT Calicut won championship in Inter-NIT Kho Kho Tournament 2024,"Feb 18, 2024"
NITC Students’ start-up kicks start the spirit of entrepreneurship,"Feb 17, 2024"
IIChE Kozhikode Regional Centre opened,"Feb 16, 2024"
NITC strengthens ties with Dell Technologies,"Feb 14, 2024"
NITC organises International conference on infrastructure,"Feb 13, 2024"
NITC repeats outstanding achievement in NBA Accreditation,"Feb 11, 2024"
Advanced Entrepreneurship Skill Development Course on Waste to Energy Technologies,"Feb 10, 2024"
"NIT Calicut ventures for academic collaboration with RMIT, Australia","Feb 05, 2024"
NITC students grab medals in All India Inter-NIT Sports Tournament,"Feb 04, 2024"
"NIT-C on a roll with start-up ventures of faculty, students","Feb 04, 2024"
Teacher's Enrichment Workshop at NITC,"Feb 03, 2024"
"Advanced Entrepreneurship Skill Development Programme ""TIES 24""","Feb 03, 2024"
NITC has emerged champions at the Kozhikode district Senior Handball Championship,"Jan 31, 2024"
Two inventions from NITC displayed at IInvenTiv 2024,"Jan 29, 2024"
Dr. C. B. Sobhan receives Dr. K. M. Bahauddin Award,"Jan 29, 2024"
Republic day celebrated at NITC,"Jan 26, 2024"
NIT Calicut observes National Voters Day with Pledge-taking Ceremony,"Jan 25, 2024"
Unit 3 of NITC NSS Cell painted the walls of Eagle Colony Anganwadi near the campus,"Jan 25, 2024"
Tathva`23 - Interface Startup Summit`23 to Ignite Entrepreneurial Spirit,"Jan 20, 2024"
NIT Calicut excels at IIC regional meet : bags first prize for poster presentation,"Jan 18, 2024"
NIT Calicut hosts spirited Annual Sports Meet,"Jan 17, 2024"
NITC MoU partners Annual Summit,"Jan 14, 2024"
NIT Calicut pays tribute to Chandrayaan 3 ahead of Tathva ‘23,"Jan 13, 2024"
NIT Calicut hosts SERB High-End workshop on Robust and Secure Routing Algorithms for Vehicular Networks,"Jan 12, 2024"
Students of Mahatma Gandhi college Iritty and REC School visited NIT Calicut campus,"Jan 12, 2024"
"Students from PM Shri Kendriya Vidyalaya, Kalpetta visits NIT Calicut","Jan 11, 2024"
NIT Calicut Mime Team tops at Mood Indigo,"Jan 09, 2024"
International seminar at NIT Calicut highlights urgency of clean energy for sustainable environment,"Jan 02, 2024"
Winner Award for NITC Professor,"Jan 02, 2024"
NIT Calicut brings accolades,"Dec 29, 2023"
NITC hosts District-Level Gifted Children Pratibha Sangam,"Dec 29, 2023"
NIT Calicut's Center of Excellence in Logistics Bags Prestigious Award at Business World Supply Chain Summit,"Dec 28, 2023"
NIT Calicut to modernize waste treatment facilities,"Dec 22, 2023"
NIT Calicut Forges strategic collaboration with University of Central Florida for academic advancement,"Dec 21, 2023"
Expert from UTEP visits NIT Calicut,"Dec 20, 2023"
NIT Calicut Designated as Centre of Excellence in Urban Planning and Design,"Dec 20, 2023"
NIT Calicut hosts seminar with Professor James Mayall on Global Power Dynamics,"Dec 19, 2023"
Odisha delegates reach Kozhikode,"Dec 05, 2023"
Delegates from a French University visit NIT Calicut,"Dec 03, 2023"
Yuva Sangam Phase 3,"Dec 02, 2023"
NIT Calicut and IIST Thiruvananthapuram to collaborate in research and academic areas,"Nov 30, 2023"
Yuva Sangam participants from Kerala begin their journey,"Nov 25, 2023"
Kerala Delegates Explore Odisha,"Nov 25, 2023"
DST Vigyan Jyothi programme held at NITC,"Nov 23, 2023"
NIT Calicut joins hands with City Corporation for elderly-friendly Kozhikode,"Nov 20, 2023"
NITC gets medicinal plant garden,"Nov 16, 2023"
NITC conducts training programme on Optics and Photonics,"Nov 15, 2023"
NITC conducts workshop for school students,"Nov 10, 2023"
NIT Calicut and ICAR-IISR inks MoU,"Nov 10, 2023"
NIT Calicut conducted training on food packaging,"Nov 08, 2023"
Two student start-ups take off at NIT Calicut,"Nov 07, 2023"
NITC observes the birth anniversary of Dr. C. V. Raman,"Nov 07, 2023"
"NIT Calicut shines in All India Inter-NIT handball, kabaddi and basketball tournaments","Nov 03, 2023"
NIT Calicut is over the moon as their study helps Kozhikode to win the UNESCO City of Literature tag,"Nov 02, 2023"
NSS unit of NITC celebrated National Unity Day,"Oct 31, 2023"
Vigilance Awareness Week 2023,"Oct 30, 2023"
PM awards 5G Use-case lab to NIT Calicut,"Oct 27, 2023"
NITC to collaborate with Universities and Industries in Japan,"Oct 21, 2023"
NITC’s Sci-Fest draws good participation of students,"Oct 19, 2023"
NIT Calicut celebrates International Year of Millets with various programmes,"Oct 17, 2023"
International students feel at home at NITC,"Oct 14, 2023"
Integrated B. Sc.- B.Ed. programme begins at NIT Calicut,"Oct 10, 2023"
Minister M. B. Rajesh visits Plastic to Power Plant at NITC,"Oct 06, 2023"
NIT Calicut joins Swachhta Hi Seva Shramadaan,"Oct 01, 2023"
Town hall meeting at NITC as part of Amrit Kaal Vimarsh,"Sep 28, 2023"
"Live telecast of ""G20 University Connect Finale 2023"" at NIT Calicut","Sep 26, 2023"
NIT Calicut gets nod for new ladies’ hostel,"Sep 22, 2023"
NITC and IMHANS inks MoU,"Sep 11, 2023"
"Department of Architecture and Planning, NITC to prepare Master Plan for Kodenchery FHC","Sep 07, 2023"
NITC students win national recognition for developing drones for medical emergencies,"Sep 06, 2023"
NIT Calicut organises national workshop on Generative Adversarial Network (GAN)-based High-Gain DC/DC Converter for UPS Application,"Sep 05, 2023"
CurioCon Plasma Exhibition and Innovation Fest commences at NIT Calicut,"Sep 04, 2023"
1906 students receive degrees at the 19th Convocation,"Sep 02, 2023"
NIT Calicut celebrates 63rd Foundation Day,"Sep 01, 2023"
Non-Formal Sanskrit Education at NIT Calicut,"Aug 28, 2023"
Naval NCC Unit at NITC brings laurels,"Aug 27, 2023"
National Institute of Technology Calicut has kick-started sports week celebrations on the campus to celebrate National Sports Day,"Aug 23, 2023"
NIT Calicut announces SILA Scholarships for Civil Engineering Students,"Aug 22, 2023"
NITC Celebrated Onam with traditional fervour,"Aug 22, 2023"
NIT Calicut observes ‘Partition Horrors Remembrance Day’,"Aug 19, 2023"
Young Idea Conclave at NITC turns a huge success,"Aug 19, 2023"
NSS Unit of NITC conducts medical camp,"Aug 17, 2023"
NIT Calicut inks MoU with TATA Elxsi for research on electric vehicles,"Aug 16, 2023"
NIT Calicut celebrates 77th Independence Day with enthusiasm,"Aug 15, 2023"
NITC launches online regular M. Tech Programme in Electric Vehicle Engineering,"Aug 14, 2023"
NITC to conduct Independence Day quiz competition for school students,"Aug 12, 2023"
NITC to recruit 150 candidates for permanent non-teaching posts,"Aug 12, 2023"
NITC organises G20 workshop on clean water and energy,"Aug 11, 2023"
NIT Calicut and Directorate of General Education organised two-day workshop for school teachers ,"Aug 08, 2023"
Social exchange programme : NSS volunteers from Wayanad visit NITC,"Aug 07, 2023"
NIT Calicut to host Young Idea Conclave,"Aug 05, 2023"
NIT Calicut to get new academic complex,"Aug 02, 2023"
Students from Vedavyasa Vidyalaya Sainik School visited the NITC campus,"Jul 27, 2023"
"NITC revamps curriculum, enhances innovation to implement NEP 2020","Jul 25, 2023"
Delegates from Embassy of France in India visit NIT Calicut,"Jul 24, 2023"
Chandrayan-3 Launch - Alumni’s vital role in Moon Mission makes NITC proud,"Jul 21, 2023"
NITC to appoint industry experts as faculty to improve industry relations,"Jul 17, 2023"
NIT Calicut to offer Integrated B.Sc. – B.Ed. Programme,"Jul 11, 2023"
NITC undergoes major curriculum revamp,"Jul 07, 2023"
Anakkampoyil public library gets solar powered digital hub,"Jul 02, 2023"
NITC grabs eighth position in National Innovation Ranking,"Jun 28, 2023"
NITC conducts DISHA-2023,"Jun 26, 2023"
International Olympic Day,"Jun 23, 2023"
International Women in Engineering Day,"Jun 23, 2023"
"NITC's Robotics Interest Group (RIG) achieved remarkable success at ROBOCON 2023, securing 14th rank and outperforming IITs and NITs","Jun 21, 2023"
International Yoga Day 2023 celebrated at NITC,"Jun 21, 2023"
G-20 Events at NITC,"Jun 19, 2023"
NIT Calicut excels in NIRF ranking,"Jun 05, 2023"
The World Bicycle Day 2023 celebrated at NITC,"Jun 03, 2023"
NITC excels again in NBA accreditation,"May 31, 2023"
30th Swadeshi Science Congress concluded,"May 27, 2023"
NIT Calicut signs MoU with Kerala Institute of Local Administration (KILA),"May 26, 2023"
The 30th Swadeshi Science Congress started at NIT-C,"May 25, 2023"
KSEB and NIT Calicut sign agreement for construction of 33kV substation at NITC Campus,"May 24, 2023"
Skill development programme on modern electric vehicles conducted at NIT Calicut,"May 24, 2023"
"NITC to strengthen collaborations in academics and research: Inked MoUs with IIT Hyderabad, Kerala Medical Technology Consortium and CWRDM","May 23, 2023"
NITC-Japan Foundation Japanese language course,"May 04, 2023"
Consulate general of Japan visited NITC,"Apr 25, 2023"
The Equal Opportunity Cell and Institute Innovation Council of the NITC jointly organized a motivational talk,"Apr 11, 2023"
Ragam 23 concludes at NIT Calicut,"Mar 12, 2023"
FOSS Meet Conducted at NITC,"Mar 11, 2023"
The ragam saga continues,"Mar 11, 2023"
The onset of cultural extravaganza- Ragam'23.,"Mar 10, 2023"
Women’s day celebrated at NIT Calicut,"Mar 10, 2023"
Ragam’23 kicks off at NIT Calicut,"Mar 09, 2023"
CONSTELLATE '23 Research Fest conducted at NITC,"Mar 08, 2023"
KMTC 'Connect Meet' at NIT Calicut to boost medical technology research,"Mar 07, 2023"
Ragam’23 website launched at NITC,"Mar 01, 2023"
Hon'ble Union Minister Shri. V Muraleedharan launched new initiatives at NITC,"Feb 24, 2023"
"Center for Innovation, Entrepreneurship and Incubation (CIEI) in association with Bhauthiki, the Physics Association, celebrated National Science Day 2023 along with students from nearby schools","Feb 18, 2023"
NITC signed MoU with Bureau of Indian Standards (BIS),"Feb 16, 2023"
‘Powerful victory’ of NIT Calicut in the All India Inter NIT Power sports competition 2022-23,"Feb 16, 2023"
NIT Calicut ‘made waves’ in the All India Inter-NIT Swimming competition 2022-23,"Feb 10, 2023"
Republic day celebrated with patriotic fervour,"Jan 26, 2023"
NITC organizes webinar series on 'National Logistics Policy' under PM Gati Shakthi Scheme,"Jan 19, 2023"
One week workshop on 'Mathematics for Artificial Intelligence' conducted at NITC,"Jan 16, 2023"
National Institute of Technology Calicut signed MoU with KMCT Medical College and KMCT Dental College,"Jan 09, 2023"
All India Inter-NIT hockey and handball tournament concludes at NITC,"Jan 08, 2023"
NITC stall enthralls tech enthusiasts in the DISHA Expo,"Jan 07, 2023"
All India Inter-NIT Hockey and Handball Tournament starts at NIT Calicut,"Jan 06, 2023"
"NIT Calicut and Ulster University, Belfast, UK Signed a Memorandum of Understanding","Jan 04, 2023"
Foundation stone laid for the student plaza ‘97th Avenue’,"Dec 28, 2022"
Outstanding Achievement for NIT Calicut in NBA Accreditation,"Dec 13, 2022"
Members of the ‘Little Kites’ Unit of ‘Calicut Girls Higher Secondary School’ visited the NITC campus,"Dec 08, 2022"
NIT Calicut inks MoU with Bosch to launch M.Tech programme in Electric Vehicle Engineering,"Nov 18, 2022"
National Level Workshop on 'Device Fabrication' at NITC,"Nov 14, 2022"
NITC organized symposium at Wayanad on the heritage of Kerala Varma Pazhassi Raja,"Nov 05, 2022"
NITC organized hands-on workshop for school students on modern Biotechnology techniques,"Nov 04, 2022"
National Unity Day celebrated at NITC,"Oct 31, 2022"
Tathva Technical Fest conducted at NITC,"Oct 21, 2022"
Onam celebrated at NITC with traditional gaiety,"Sep 06, 2022"
18th convocation held at NITC,"Sep 03, 2022"
Foundation day 2022,"Sep 01, 2022"
World NITCAA meet conducted at NITC,"Aug 26, 2022"
Azadi ka Amrit Mahotsav,"Aug 15, 2022"
75th Independence Day Celebration,"Aug 15, 2022"
